x,y,causa,year
325.03488615,74.87501385,Intencionado,1998
284.914976775,304.87501395,Rayo,1998
324.87498615,204.87499305,Rayo,1998
264.8749896,294.874987875,Rayo,1998
24.8869959,234.874991325,Otro,1998
115.154823225,94.87498605,Otro,1998
234.874991325,174.874994775,Accidente,1998
244.9549674,354.874984425,Otro,1998
124.914959325,124.874984325,Accidente,1998
245.0748924,354.874984425,Accidente,1998
95.07486105,264.8749896,Intencionado,1998
95.11483605,264.8749896,Intencionado,1998
265.1947896,84.87499995,Intencionado,1998
335.03487225,184.874980875,Accidente,1998
164.875008675,84.87499995,Otro,1998
114.914973225,94.87498605,Accidente,1998
334.91494725,184.874980875,Accidente,1998
134.8750104,244.8750174,Accidente,1998
115.194798225,94.87498605,Intencionado,1998
184.874980875,334.87497225,Intencionado,1998
54.875001675,234.874991325,Otro,1998
64.994912775,244.8750174,Otro,1998
124.954934325,124.874984325,Intencionado,1998
234.914966325,254.8750035,Accidente,1998
294.874987875,204.87499305,Accidente,1998
175.114844775,234.874991325,Accidente,1998
274.994940675,84.87499995,Accidente,1998
194.87500695,234.874991325,Accidente,1998
214.875019125,354.874984425,Intencionado,1998
174.874994775,234.874991325,Otro,1998
194.91498195,234.874991325,Intencionado,1998
224.875005225,374.8749966,Otro,1998
264.8749896,314.87500005,Accidente,1998
64.874987775,254.8750035,Accidente,1998
64.914962775,254.8750035,Otro,1998
244.8750174,294.874987875,Accidente,1998
264.8749896,304.87501395,Rayo,1998
144.8749965,174.874994775,Accidente,1998
325.11483615,74.87501385,Otro,1998
144.8749965,154.8749826,Intencionado,1998
174.874994775,104.875012125,Intencionado,1998
164.914983675,154.8749826,Intencionado,1998
324.87498615,174.874994775,Accidente,1998
324.91496115,204.87499305,Accidente,1998
134.9949354,194.87500695,Accidente,1998
135.0349104,194.87500695,Accidente,1998
304.87501395,234.874991325,Accidente,1998
284.875001775,304.87501395,Accidente,1998
274.875015675,84.87499995,Intencionado,1998
294.874987875,254.8750035,Accidente,1998
284.875001775,334.87497225,Intencionado,1998
334.87497225,164.875008675,Accidente,1998
254.8750035,64.874987775,Accidente,1998
334.87497225,184.874980875,Accidente,1998
174.874994775,174.874994775,Otro,1998
64.954937775,254.8750035,Intencionado,1998
84.87499995,104.875012125,Otro,1998
64.874987775,94.87498605,Otro,1998
214.875019125,374.8749966,Otro,1998
174.954944775,234.874991325,Accidente,1998
284.875001775,344.874998325,Otro,1998
354.874984425,134.8750104,Accidente,1998
284.875001775,264.8749896,Accidente,1998
94.87498605,64.874987775,Otro,1998
324.87498615,254.8750035,Accidente,1998
274.875015675,64.874987775,Accidente,1998
224.875005225,324.87498615,Accidente,1998
264.8749896,224.875005225,Accidente,1998
254.8750035,344.874998325,Accidente,1998
194.87500695,354.874984425,Intencionado,1998
184.874980875,204.87499305,Accidente,1998
174.914969775,104.875012125,Otro,1998
214.954969125,324.87498615,Accidente,1998
204.91496805,334.87497225,Accidente,1998
134.9149854,254.8750035,Accidente,1998
194.87500695,194.87500695,Accidente,1998
105.034912125,134.8750104,Intencionado,1998
344.914973325,224.875005225,Otro,1998
204.87499305,304.87501395,Accidente,1998
224.954955225,324.87498615,Accidente,1998
204.91496805,324.87498615,Intencionado,1998
95.07486105,254.8750035,Otro,1998
95.11483605,254.8750035,Otro,1998
265.2347646,84.87499995,Accidente,1998
95.23476105,264.8749896,Intencionado,1998
304.95496395,74.87501385,Accidente,1998
344.874998325,154.8749826,Accidente,1998
254.9149785,64.874987775,Accidente,1998
344.874998325,125.874998925,Accidente,1998
114.874998225,84.87499995,Accidente,1998
314.87500005,324.87498615,Accidente,1998
144.8749965,234.874991325,Accidente,1998
214.875019125,84.87499995,Accidente,1998
234.874991325,184.874980875,Accidente,1998
214.875019125,364.8750105,Accidente,1998
54.914976675,234.874991325,Accidente,1998
154.9149576,174.874994775,Accidente,1998
184.914955875,204.87499305,Otro,1998
124.874984325,254.8750035,Otro,1998
284.875001775,244.8750174,Accidente,1998
324.87498615,234.874991325,Accidente,1998
244.8750174,324.87498615,Intencionado,1998
324.91496115,74.87501385,Otro,1998
204.87499305,334.87497225,Intencionado,1998
284.875001775,114.874998225,Accidente,1998
234.874991325,124.874984325,Accidente,1998
324.91496115,144.8749965,Accidente,1998
174.954944775,104.875012125,Intencionado,1998
294.874987875,214.875019125,Accidente,1998
194.87500695,324.87498615,Accidente,1998
175.034894775,334.87497225,Accidente,1998
224.994930225,324.87498615,Otro,1998
84.87499995,194.87500695,Intencionado,1998
184.954930875,224.875005225,Accidente,1998
334.87497225,224.875005225,Accidente,1998
74.87501385,214.875019125,Accidente,1998
264.8749896,124.874984325,Accidente,1998
84.87499995,114.874998225,Otro,1998
324.95493615,74.87501385,Intencionado,1998
264.8749896,204.87499305,Intencionado,1998
324.99491115,74.87501385,Intencionado,1998
170.674981425,328.625000925,Accidente,1998
34.878987,244.8750174,Accidente,1998
324.87498615,114.874998225,Rayo,1998
134.8750104,114.874998225,Otro,1998
154.9149576,224.875005225,Accidente,1998
254.9549535,64.874987775,Accidente,1998
114.874998225,94.87498605,Accidente,1998
274.875015675,304.87501395,Otro,1998
174.874994775,314.87500005,Accidente,1998
104.875012125,134.8750104,Intencionado,1998
74.87501385,134.8750104,Otro,1998
234.874991325,294.874987875,Accidente,1998
24.8829984,234.874991325,Accidente,1998
164.875008675,154.8749826,Accidente,1998
64.874987775,244.8750174,Otro,1998
124.874984325,224.875005225,Otro,1998
54.875001675,254.8750035,Accidente,1998
94.87498605,264.8749896,Intencionado,1998
64.874987775,164.875008675,Accidente,1998
244.8750174,314.87500005,Accidente,1998
244.8750174,354.874984425,Otro,1998
114.954948225,94.87498605,Otro,1998
244.8750174,124.874984325,Intencionado,1998
114.874998225,164.875008675,Intencionado,1998
84.91497495,174.874994775,Intencionado,1998
204.91496805,274.875015675,Accidente,1998
194.91498195,304.87501395,Intencionado,1998
164.875008675,234.874991325,Accidente,1998
